example_id,source_lang,target_lang,source_text,target_text,domain,register,source_type,source_name,source_url,license,translator,review_status,notes
fra-eng-000084,fra,eng,Entrez !,,,,,,,CC-BY-4.0,,,
fra-eng-000085,fra,eng,Entre.,,,,,,,CC-BY-4.0,,,
fra-eng-000086,fra,eng,Entre !,,,,,,,CC-BY-4.0,,,
fra-eng-000087,fra,eng,Entrez !,,,,,,,CC-BY-4.0,,,
fra-eng-000088,fra,eng,Allez !,,,,,,,CC-BY-4.0,,,
fra-eng-000089,fra,eng,Allez !,,,,,,,CC-BY-4.0,,,
fra-eng-000090,fra,eng,Viens !,,,,,,,CC-BY-4.0,,,
fra-eng-000091,fra,eng,Venez !,,,,,,,CC-BY-4.0,,,
fra-eng-000092,fra,eng,Laisse tomber !,,,,,,,CC-BY-4.0,,,
fra-eng-000093,fra,eng,Laissez tomber !,,,,,,,CC-BY-4.0,,,
fra-eng-000094,fra,eng,Laisse-le tomber !,,,,,,,CC-BY-4.0,,,
fra-eng-000095,fra,eng,Laissez-le tomber !,,,,,,,CC-BY-4.0,,,
fra-eng-000096,fra,eng,Sortez !,,,,,,,CC-BY-4.0,,,
fra-eng-000097,fra,eng,Sors !,,,,,,,CC-BY-4.0,,,
fra-eng-000098,fra,eng,Sortez !,,,,,,,CC-BY-4.0,,,
fra-eng-000099,fra,eng,Sors.,,,,,,,CC-BY-4.0,,,
fra-eng-000100,fra,eng,Casse-toi.,,,,,,,CC-BY-4.0,,,
fra-eng-000101,fra,eng,Pars !,,,,,,,CC-BY-4.0,,,
fra-eng-000102,fra,eng,Va te faire foutre !,,,,,,,CC-BY-4.0,,,
fra-eng-000103,fra,eng,Dégage !,,,,,,,CC-BY-4.0,,,
fra-eng-000104,fra,eng,Fous le camp !,,,,,,,CC-BY-4.0,,,
fra-eng-000105,fra,eng,Pars d'ici.,,,,,,,CC-BY-4.0,,,
fra-eng-000106,fra,eng,Va t'en !,,,,,,,CC-BY-4.0,,,
fra-eng-000107,fra,eng,Disparais !,,,,,,,CC-BY-4.0,,,
fra-eng-000108,fra,eng,Allez-vous en !,,,,,,,CC-BY-4.0,,,
fra-eng-000109,fra,eng,Va doucement !,,,,,,,CC-BY-4.0,,,
fra-eng-000110,fra,eng,Allez doucement !,,,,,,,CC-BY-4.0,,,
fra-eng-000111,fra,eng,À la revoyure.,,,,,,,CC-BY-4.0,,,
fra-eng-000112,fra,eng,Attends un peu !,,,,,,,CC-BY-4.0,,,
fra-eng-000113,fra,eng,Attendez un peu !,,,,,,,CC-BY-4.0,,,
fra-eng-000114,fra,eng,Tiens bon !,,,,,,,CC-BY-4.0,,,
fra-eng-000115,fra,eng,Tenez bon !,,,,,,,CC-BY-4.0,,,
fra-eng-000116,fra,eng,Il laissa tomber.,,,,,,,CC-BY-4.0,,,
fra-eng-000117,fra,eng,Il a laissé tomber.,,,,,,,CC-BY-4.0,,,
fra-eng-000118,fra,eng,Il court.,,,,,,,CC-BY-4.0,,,
fra-eng-000119,fra,eng,Aide-moi !,,,,,,,CC-BY-4.0,,,
fra-eng-000120,fra,eng,Aide-moi.,,,,,,,CC-BY-4.0,,,
fra-eng-000121,fra,eng,Aidez-moi.,,,,,,,CC-BY-4.0,,,
fra-eng-000122,fra,eng,Aidez-nous !,,,,,,,CC-BY-4.0,,,
fra-eng-000123,fra,eng,Aide-nous !,,,,,,,CC-BY-4.0,,,
fra-eng-000124,fra,eng,Ne bouge plus !,,,,,,,CC-BY-4.0,,,
fra-eng-000125,fra,eng,Ne quittez pas.,,,,,,,CC-BY-4.0,,,
fra-eng-000126,fra,eng,Je suis du même avis.,,,,,,,CC-BY-4.0,,,
fra-eng-000127,fra,eng,Je conduis.,,,,,,,CC-BY-4.0,,,
fra-eng-000128,fra,eng,J'essayai.,,,,,,,CC-BY-4.0,,,
fra-eng-000129,fra,eng,J'ai essayé.,,,,,,,CC-BY-4.0,,,
fra-eng-000130,fra,eng,J'ai tenté.,,,,,,,CC-BY-4.0,,,
fra-eng-000131,fra,eng,J'irai.,,,,,,,CC-BY-4.0,,,
fra-eng-000132,fra,eng,Je suis gras.,,,,,,,CC-BY-4.0,,,
fra-eng-000133,fra,eng,Je suis gros.,,,,,,,CC-BY-4.0,,,
fra-eng-000134,fra,eng,Je suis en forme.,,,,,,,CC-BY-4.0,,,
fra-eng-000135,fra,eng,Je suis touché !,,,,,,,CC-BY-4.0,,,
fra-eng-000136,fra,eng,Je suis touchée !,,,,,,,CC-BY-4.0,,,
fra-eng-000137,fra,eng,Je suis malade.,,,,,,,CC-BY-4.0,,,
fra-eng-000138,fra,eng,Je suis triste.,,,,,,,CC-BY-4.0,,,
fra-eng-000139,fra,eng,Je suis timide.,,,,,,,CC-BY-4.0,,,
fra-eng-000140,fra,eng,Je suis mouillé.,,,,,,,CC-BY-4.0,,,
fra-eng-000141,fra,eng,Je suis mouillée.,,,,,,,CC-BY-4.0,,,
fra-eng-000142,fra,eng,C'est bibi !,,,,,,,CC-BY-4.0,,,
fra-eng-000143,fra,eng,Joignez-vous.,,,,,,,CC-BY-4.0,,,
fra-eng-000144,fra,eng,Joignez-vous à nous.,,,,,,,CC-BY-4.0,,,
fra-eng-000145,fra,eng,Garde-le !,,,,,,,CC-BY-4.0,,,
fra-eng-000146,fra,eng,Gardez-le !,,,,,,,CC-BY-4.0,,,
fra-eng-000147,fra,eng,Embrasse-moi.,,,,,,,CC-BY-4.0,,,
fra-eng-000148,fra,eng,Embrassez-moi.,,,,,,,CC-BY-4.0,,,
fra-eng-000149,fra,eng,Moi aussi.,,,,,,,CC-BY-4.0,,,
fra-eng-000150,fra,eng,Ouvre-moi !,,,,,,,CC-BY-4.0,,,
fra-eng-000151,fra,eng,Ouvre.,,,,,,,CC-BY-4.0,,,
fra-eng-000152,fra,eng,Parfait !,,,,,,,CC-BY-4.0,,,
fra-eng-000153,fra,eng,À plus.,,,,,,,CC-BY-4.0,,,
fra-eng-000154,fra,eng,Montre-moi !,,,,,,,CC-BY-4.0,,,
fra-eng-000155,fra,eng,Montrez-moi !,,,,,,,CC-BY-4.0,,,
fra-eng-000156,fra,eng,Taisez-vous !,,,,,,,CC-BY-4.0,,,
fra-eng-000157,fra,eng,Ferme-la !,,,,,,,CC-BY-4.0,,,
fra-eng-000158,fra,eng,Tais-toi !,,,,,,,CC-BY-4.0,,,
fra-eng-000159,fra,eng,Ferme-la !,,,,,,,CC-BY-4.0,,,
fra-eng-000160,fra,eng,La ferme !,,,,,,,CC-BY-4.0,,,
fra-eng-000161,fra,eng,À plus tard !,,,,,,,CC-BY-4.0,,,
fra-eng-000162,fra,eng,Prends-le !,,,,,,,CC-BY-4.0,,,
fra-eng-000163,fra,eng,Prenez-le !,,,,,,,CC-BY-4.0,,,
fra-eng-000164,fra,eng,Dis-moi !,,,,,,,CC-BY-4.0,,,
fra-eng-000165,fra,eng,Dites-moi !,,,,,,,CC-BY-4.0,,,
fra-eng-000166,fra,eng,Tom a gagné.,,,,,,,CC-BY-4.0,,,
fra-eng-000167,fra,eng,Réveille-toi !,,,,,,,CC-BY-4.0,,,
fra-eng-000168,fra,eng,Réveille-toi !,,,,,,,CC-BY-4.0,,,
fra-eng-000169,fra,eng,Réveillez-vous !,,,,,,,CC-BY-4.0,,,
fra-eng-000170,fra,eng,Lave-toi !,,,,,,,CC-BY-4.0,,,
fra-eng-000171,fra,eng,Lavez-vous !,,,,,,,CC-BY-4.0,,,
fra-eng-000172,fra,eng,Nous savons.,,,,,,,CC-BY-4.0,,,
fra-eng-000173,fra,eng,Nous perdîmes.,,,,,,,CC-BY-4.0,,,
fra-eng-000174,fra,eng,Nous avons perdu.,,,,,,,CC-BY-4.0,,,
fra-eng-000175,fra,eng,Nous fûmes battus.,,,,,,,CC-BY-4.0,,,
fra-eng-000176,fra,eng,Nous fûmes battues.,,,,,,,CC-BY-4.0,,,
fra-eng-000177,fra,eng,Nous fûmes défaits.,,,,,,,CC-BY-4.0,,,
fra-eng-000178,fra,eng,Nous fûmes défaites.,,,,,,,CC-BY-4.0,,,
fra-eng-000179,fra,eng,Nous avons été défaits.,,,,,,,CC-BY-4.0,,,
fra-eng-000180,fra,eng,Nous avons été défaites.,,,,,,,CC-BY-4.0,,,
fra-eng-000181,fra,eng,Nous avons été battus.,,,,,,,CC-BY-4.0,,,
fra-eng-000182,fra,eng,Nous avons été battues.,,,,,,,CC-BY-4.0,,,
fra-eng-000183,fra,eng,Qui a gagné ?,,,,,,,CC-BY-4.0,,,
fra-eng-000184,fra,eng,Qui l'a emporté ?,,,,,,,CC-BY-4.0,,,
fra-eng-000185,fra,eng,Tu cours.,,,,,,,CC-BY-4.0,,,
fra-eng-000186,fra,eng,Suis-je gros ?,,,,,,,CC-BY-4.0,,,
fra-eng-000187,fra,eng,Suis-je grosse ?,,,,,,,CC-BY-4.0,,,
fra-eng-000188,fra,eng,Recule !,,,,,,,CC-BY-4.0,,,
fra-eng-000189,fra,eng,Reculez.,,,,,,,CC-BY-4.0,,,
fra-eng-000190,fra,eng,Retire-toi !,,,,,,,CC-BY-4.0,,,
fra-eng-000191,fra,eng,Retirez-vous.,,,,,,,CC-BY-4.0,,,
fra-eng-000192,fra,eng,Sois un homme !,,,,,,,CC-BY-4.0,,,
fra-eng-000193,fra,eng,Soyez un homme !,,,,,,,CC-BY-4.0,,,
fra-eng-000194,fra,eng,Aucune idée.,,,,,,,CC-BY-4.0,,,
fra-eng-000195,fra,eng,J'en sais foutre rien.,,,,,,,CC-BY-4.0,,,
fra-eng-000196,fra,eng,Appelle Tom.,,,,,,,CC-BY-4.0,,,
fra-eng-000197,fra,eng,Appelez Tom.,,,,,,,CC-BY-4.0,,,
fra-eng-000198,fra,eng,Courage !,,,,,,,CC-BY-4.0,,,
fra-eng-000199,fra,eng,Détends-toi !,,,,,,,CC-BY-4.0,,,
fra-eng-000200,fra,eng,Menottez-le.,,,,,,,CC-BY-4.0,,,
fra-eng-000201,fra,eng,Avance !,,,,,,,CC-BY-4.0,,,
fra-eng-000202,fra,eng,Avancez !,,,,,,,CC-BY-4.0,,,
fra-eng-000203,fra,eng,Continue à rouler !,,,,,,,CC-BY-4.0,,,
fra-eng-000204,fra,eng,Continuez à rouler !,,,,,,,CC-BY-4.0,,,
fra-eng-000205,fra,eng,Lâche-toi !,,,,,,,CC-BY-4.0,,,
fra-eng-000206,fra,eng,Descends !,,,,,,,CC-BY-4.0,,,
fra-eng-000207,fra,eng,Descendez !,,,,,,,CC-BY-4.0,,,
fra-eng-000208,fra,eng,Lâchez-vous !,,,,,,,CC-BY-4.0,,,
fra-eng-000209,fra,eng,Va voir ailleurs si j'y suis !,,,,,,,CC-BY-4.0,,,
fra-eng-000210,fra,eng,Va au diable !,,,,,,,CC-BY-4.0,,,
fra-eng-000211,fra,eng,Sois réaliste !,,,,,,,CC-BY-4.0,,,
fra-eng-000212,fra,eng,Vas-y.,,,,,,,CC-BY-4.0,,,
fra-eng-000213,fra,eng,Poursuis !,,,,,,,CC-BY-4.0,,,
fra-eng-000214,fra,eng,Passe devant !,,,,,,,CC-BY-4.0,,,
fra-eng-000215,fra,eng,Vas-y !,,,,,,,CC-BY-4.0,,,
fra-eng-000216,fra,eng,Bien joué !,,,,,,,CC-BY-4.0,,,
fra-eng-000217,fra,eng,Bon boulot !,,,,,,,CC-BY-4.0,,,
fra-eng-000218,fra,eng,Beau travail !,,,,,,,CC-BY-4.0,,,
fra-eng-000219,fra,eng,Attrape-le.,,,,,,,CC-BY-4.0,,,
fra-eng-000220,fra,eng,Attrapez-le.,,,,,,,CC-BY-4.0,,,
fra-eng-000221,fra,eng,Amuse-toi bien !,,,,,,,CC-BY-4.0,,,
fra-eng-000222,fra,eng,Amusez-vous bien !,,,,,,,CC-BY-4.0,,,
fra-eng-000223,fra,eng,Il essaye.,,,,,,,CC-BY-4.0,,,
fra-eng-000224,fra,eng,Il est mouillé.,,,,,,,CC-BY-4.0,,,
fra-eng-000225,fra,eng,"Salut, les mecs !",,,,,,,CC-BY-4.0,,,
fra-eng-000226,fra,eng,Comme c'est mignon !,,,,,,,CC-BY-4.0,,,
fra-eng-000227,fra,eng,Quelle profondeur ?,,,,,,,CC-BY-4.0,,,
fra-eng-000228,fra,eng,Comme c'est chouette !,,,,,,,CC-BY-4.0,,,
fra-eng-000229,fra,eng,Comme c'est gentil !,,,,,,,CC-BY-4.0,,,
fra-eng-000230,fra,eng,C'est du joli !,,,,,,,CC-BY-4.0,,,
fra-eng-000231,fra,eng,Comme c'est agréable !,,,,,,,CC-BY-4.0,,,
fra-eng-000232,fra,eng,Fais-moi rire.,,,,,,,CC-BY-4.0,,,
fra-eng-000233,fra,eng,Dépêche-toi.,,,,,,,CC-BY-4.0,,,
fra-eng-000234,fra,eng,Grouille !,,,,,,,CC-BY-4.0,,,
fra-eng-000235,fra,eng,Pressez-vous !,,,,,,,CC-BY-4.0,,,
fra-eng-000236,fra,eng,Fiça !,,,,,,,CC-BY-4.0,,,
fra-eng-000237,fra,eng,Je m'en suis bien sorti.,,,,,,,CC-BY-4.0,,,
fra-eng-000238,fra,eng,Je m'en suis bien sortie.,,,,,,,CC-BY-4.0,,,
fra-eng-000239,fra,eng,Je l'ai fait.,,,,,,,CC-BY-4.0,,,
fra-eng-000240,fra,eng,C'est moi qui l'ai fait.,,,,,,,CC-BY-4.0,,,
fra-eng-000241,fra,eng,J'ai échoué.,,,,,,,CC-BY-4.0,,,
fra-eng-000242,fra,eng,J'ai oublié.,,,,,,,CC-BY-4.0,,,
fra-eng-000243,fra,eng,J'ai compris.,,,,,,,CC-BY-4.0,,,
fra-eng-000244,fra,eng,J'ai capté.,,,,,,,CC-BY-4.0,,,
fra-eng-000245,fra,eng,Je téléphonai.,,,,,,,CC-BY-4.0,,,
fra-eng-000246,fra,eng,J'ai téléphoné.,,,,,,,CC-BY-4.0,,,
fra-eng-000247,fra,eng,Je refuse.,,,,,,,CC-BY-4.0,,,
fra-eng-000248,fra,eng,Je le refuse.,,,,,,,CC-BY-4.0,,,
fra-eng-000249,fra,eng,Je l'ai vu.,,,,,,,CC-BY-4.0,,,
fra-eng-000250,fra,eng,Je l’ai vu.,,,,,,,CC-BY-4.0,,,
fra-eng-000251,fra,eng,Je suis resté.,,,,,,,CC-BY-4.0,,,
fra-eng-000252,fra,eng,Je suis restée.,,,,,,,CC-BY-4.0,,,
fra-eng-000253,fra,eng,Je l'utilise.,,,,,,,CC-BY-4.0,,,
fra-eng-000254,fra,eng,J'en fais usage.,,,,,,,CC-BY-4.0,,,
fra-eng-000255,fra,eng,Je m'en sers.,,,,,,,CC-BY-4.0,,,
fra-eng-000256,fra,eng,Je paierai.,,,,,,,CC-BY-4.0,,,
fra-eng-000257,fra,eng,Je vais essayer.,,,,,,,CC-BY-4.0,,,
fra-eng-000258,fra,eng,J'essaierai.,,,,,,,CC-BY-4.0,,,
fra-eng-000259,fra,eng,Je suis revenu.,,,,,,,CC-BY-4.0,,,
fra-eng-000260,fra,eng,Me revoilà.,,,,,,,CC-BY-4.0,,,
fra-eng-000261,fra,eng,Je suis chauve.,,,,,,,CC-BY-4.0,,,
fra-eng-000262,fra,eng,Je suis occupé.,,,,,,,CC-BY-4.0,,,
fra-eng-000263,fra,eng,Je suis occupée.,,,,,,,CC-BY-4.0,,,
fra-eng-000264,fra,eng,Je suis calme.,,,,,,,CC-BY-4.0,,,
fra-eng-000265,fra,eng,J'ai froid.,,,,,,,CC-BY-4.0,,,
fra-eng-000266,fra,eng,Je suis sourd.,,,,,,,CC-BY-4.0,,,
fra-eng-000267,fra,eng,Je suis sourde.,,,,,,,CC-BY-4.0,,,
fra-eng-000268,fra,eng,J'en ai fini.,,,,,,,CC-BY-4.0,,,
fra-eng-000269,fra,eng,Je suis rapide.,,,,,,,CC-BY-4.0,,,
fra-eng-000270,fra,eng,Tout va bien.,,,,,,,CC-BY-4.0,,,
fra-eng-000271,fra,eng,Je suis libre !,,,,,,,CC-BY-4.0,,,
fra-eng-000272,fra,eng,Je suis libre.,,,,,,,CC-BY-4.0,,,
fra-eng-000273,fra,eng,Je suis disponible.,,,,,,,CC-BY-4.0,,,
fra-eng-000274,fra,eng,Je suis repu !,,,,,,,CC-BY-4.0,,,
fra-eng-000275,fra,eng,Je suis rassasié !,,,,,,,CC-BY-4.0,,,
fra-eng-000276,fra,eng,Je suis content.,,,,,,,CC-BY-4.0,,,
fra-eng-000277,fra,eng,Je suis chez moi.,,,,,,,CC-BY-4.0,,,
fra-eng-000278,fra,eng,Je suis en retard.,,,,,,,CC-BY-4.0,,,
fra-eng-000279,fra,eng,Je suis paresseux.,,,,,,,CC-BY-4.0,,,
fra-eng-000280,fra,eng,Je suis fainéant.,,,,,,,CC-BY-4.0,,,
fra-eng-000281,fra,eng,Je suis paresseuse.,,,,,,,CC-BY-4.0,,,
fra-eng-000282,fra,eng,Je suis fainéante.,,,,,,,CC-BY-4.0,,,
fra-eng-000283,fra,eng,Je me porte bien.,,,,,,,CC-BY-4.0,,,
fra-eng-000284,fra,eng,Je suis en sécurité.,,,,,,,CC-BY-4.0,,,
fra-eng-000285,fra,eng,J'en suis certain.,,,,,,,CC-BY-4.0,,,
fra-eng-000286,fra,eng,Je suis certain.,,,,,,,CC-BY-4.0,,,
fra-eng-000287,fra,eng,J'en suis sûr.,,,,,,,CC-BY-4.0,,,
fra-eng-000288,fra,eng,J'en suis sûre.,,,,,,,CC-BY-4.0,,,
fra-eng-000289,fra,eng,Je suis grande.,,,,,,,CC-BY-4.0,,,
fra-eng-000290,fra,eng,Je suis mince.,,,,,,,CC-BY-4.0,,,
fra-eng-000291,fra,eng,Je suis ordonné.,,,,,,,CC-BY-4.0,,,
fra-eng-000292,fra,eng,Je suis ordonnée.,,,,,,,CC-BY-4.0,,,
fra-eng-000293,fra,eng,Je suis laid.,,,,,,,CC-BY-4.0,,,
fra-eng-000294,fra,eng,Je suis laide.,,,,,,,CC-BY-4.0,,,
fra-eng-000295,fra,eng,Je suis faible.,,,,,,,CC-BY-4.0,,,
fra-eng-000296,fra,eng,J'ai gagné.,,,,,,,CC-BY-4.0,,,
fra-eng-000297,fra,eng,Je l'ai emporté.,,,,,,,CC-BY-4.0,,,
fra-eng-000298,fra,eng,Elle marche.,,,,,,,CC-BY-4.0,,,
fra-eng-000299,fra,eng,Ça fonctionne.,,,,,,,CC-BY-4.0,,,
fra-eng-000300,fra,eng,C'est le sien.,,,,,,,CC-BY-4.0,,,
fra-eng-000301,fra,eng,C'est la sienne.,,,,,,,CC-BY-4.0,,,
fra-eng-000302,fra,eng,C'est nouveau.,,,,,,,CC-BY-4.0,,,
fra-eng-000303,fra,eng,C'est neuf.,,,,,,,CC-BY-4.0,,,
fra-eng-000304,fra,eng,C'est bizarre.,,,,,,,CC-BY-4.0,,,
fra-eng-000305,fra,eng,C’est triste.,,,,,,,CC-BY-4.0,,,
fra-eng-000306,fra,eng,Défense d'entrer.,,,,,,,CC-BY-4.0,,,
fra-eng-000307,fra,eng,N'entrez pas.,,,,,,,CC-BY-4.0,,,
fra-eng-000308,fra,eng,Laissez-moi !,,,,,,,CC-BY-4.0,,,
fra-eng-000309,fra,eng,Laisse-nous !,,,,,,,CC-BY-4.0,,,
fra-eng-000310,fra,eng,Laissez-nous !,,,,,,,CC-BY-4.0,,,
fra-eng-000311,fra,eng,Allons-y !,,,,,,,CC-BY-4.0,,,
fra-eng-000312,fra,eng,Allons !,,,,,,,CC-BY-4.0,,,
fra-eng-000313,fra,eng,Attention !,,,,,,,CC-BY-4.0,,,
fra-eng-000314,fra,eng,Épouse-moi !,,,,,,,CC-BY-4.0,,,
fra-eng-000315,fra,eng,Épousez-moi !,,,,,,,CC-BY-4.0,,,
fra-eng-000316,fra,eng,Puis-je partir ?,,,,,,,CC-BY-4.0,,,
fra-eng-000317,fra,eng,Puis-je y aller ?,,,,,,,CC-BY-4.0,,,
fra-eng-000318,fra,eng,Puis-je m'y rendre ?,,,,,,,CC-BY-4.0,,,
fra-eng-000319,fra,eng,Elle est venue.,,,,,,,CC-BY-4.0,,,
fra-eng-000320,fra,eng,Elle est morte.,,,,,,,CC-BY-4.0,,,
fra-eng-000321,fra,eng,Elle court.,,,,,,,CC-BY-4.0,,,
fra-eng-000322,fra,eng,Assieds-toi !,,,,,,,CC-BY-4.0,,,
fra-eng-000323,fra,eng,Asseyez-vous !,,,,,,,CC-BY-4.0,,,
fra-eng-000324,fra,eng,Assieds-toi ici.,,,,,,,CC-BY-4.0,,,
fra-eng-000325,fra,eng,Asseyez-vous ici.,,,,,,,CC-BY-4.0,,,
fra-eng-000326,fra,eng,Parle plus fort !,,,,,,,CC-BY-4.0,,,
fra-eng-000327,fra,eng,Parlez plus fort !,,,,,,,CC-BY-4.0,,,
